# Time, Avrg_int, SD, SE, Sum_int, Max_int
0.000000000000000000e+00,2.444513355255126953e+03,1.090838680616796410e+04,1.728531970201980130e+03,1.281629018000000000e+09,6.553500000000000000e+04
1.000000000000000000e+01,2.333026768684387207e+03,1.059786166732279708e+04,1.649699048826468925e+03,2.446355877000000000e+09,6.553500000000000000e+04
2.000000000000000000e+01,2.279046752293904774e+03,1.044361218061573163e+04,1.611529413188197850e+03,3.584630591000000000e+09,6.553500000000000000e+04
3.000000000000000000e+01,2.264670109748840332e+03,1.040217728410735617e+04,1.601363591753887704e+03,4.543901540000000000e+08,6.553500000000000000e+04
4.000000000000000000e+01,2.300638758850097474e+03,1.050561703649374067e+04,1.626797267443506144e+03,1.736019172000000000e+09,6.553500000000000000e+04
