# Time, Avrg_int, SD, SE
0.000000000000000000e+00,1.879086383819580078e+03,9.208323554534821596e+03,1.328714724434132677e+03
1.000000000000000000e+01,2.014441589355468750e+03,9.647389397535176613e+03,1.424425308137458387e+03
2.000000000000000000e+01,2.171086719512939453e+03,1.012720490781535045e+04,1.535190141911655246e+03
3.000000000000000000e+01,2.428638774871826172e+03,1.086578406627984805e+04,1.717306946764457052e+03
4.000000000000000000e+01,3.009940326690673828e+03,1.235124153358294461e+04,2.128349215969827583e+03
